id,title,description,url,genre,platform,publisher,developer,release_date
551,Veiled Experts,A free-to-play multiplayer shooter game focused on the search and destroy mode of classic shooters.,https://www.freetogame.com/open/veiled-experts,Shooter,PC (Windows),"Nexon Games Co., LTC",Nexon,18/05/23
552,Jected - Rivals,A free-to-play game mixing extreme sports with destructible vehicles and a unique ejection mechanic.,https://www.freetogame.com/open/jected-rivals,Sports,PC (Windows),THQ Nordic,PowWow Entertainment,04/05/23
554,Undawn,A free-to-play open-world survival RPG developed by LightSpeed studios and published by Level Infinite.,https://www.freetogame.com/open/undawn,Shooter,PC (Windows),Level Infinite,LightSpeed Studios,15/06/23
556,Naraka: Bladepoint,A free-to-play melee focused battle royale.,https://www.freetogame.com/open/naraka-bladepoint,Battle Royale,PC (Windows),24 Entertainment,NetEase,13/07/23
557,Ethyrial: Echoes of Yore,A old-school MMORPG set in a world on the brink of Civil War,https://www.freetogame.com/open/ethyrial-echoes-of-yore,MMORPG,PC (Windows), Gellyberry Studios, Gellyberry Studios,01/05/23
558,Hawked,A free-to-play PvPvE treasure hunting shooter.,https://www.freetogame.com/open/hawked,Shooter,PC (Windows),My.Games,My.Games,03/08/23
559,Tales Of Yore,A 2D MMORPG with lots of RPG tropes.,https://www.freetogame.com/open/tales-of-yore,MMORPG,"PC (Windows), Web Browser",Coke And Code,Coke And Code,08/08/23
560,Palia,A cozy MMO with homebuilding and some adventure.,https://www.freetogame.com/open/palia,MMORPG,PC (Windows),Singularity Six,Singularity Six,10/08/23
562,Waven,A free-to-play online tactical RPG from Ankama.,https://www.freetogame.com/open/waven,Strategy,PC (Windows),Ankama Studio,Ankama Games,16/08/23
563,Kakale Online,A free-to-play top-down 2D MMORPG from developer and publisher ViVa Games.,https://www.freetogame.com/open/kakale-online,MMORPG,PC (Windows),ViVa Games,ViVa Games,01/02/20
566,Town of Salem 2,A deduction game set in Salem.,https://www.freetogame.com/open/town-of-salem-2,Strategy,PC (Windows),BlankMediaGames LLC,BlankMediaGames LLC,25/08/23
567,Microvolts: Recharged,A lobby-based third-person shooter with a toy-theme.,https://www.freetogame.com/open/microvolts,Shooter,PC (Windows),Masangsoft,Masangsoft,08/09/23
568,"Warhammer 40,000: Warpforge",A free-to-play CCG set in the Warhammer 40K universe.,https://www.freetogame.com/open/warhammer-40000-warpforge,Card Game,PC (Windows),Everguild Ltd.,Everguild Ltd.,19/10/23
569,Destiny's Divide,Free-to-play PvP Fantasy Card Game for competitive card game players.,https://www.freetogame.com/open/destinys-divide,Card Game,PC (Windows),Fobia,Fobia,03/11/23
570,The Finals,A game-show style PvP shooter from Embark Studios.,https://www.freetogame.com/open/the-finals,Shooter,PC (Windows),Embark Studios,Embark Studios,07/12/23
571,Infinite Borders,A free-to-play strategy game from NetEase set during China’s Three Kingdoms period.,https://www.freetogame.com/open/infinite-borders,Strategy,PC (Windows),NetEase Games,NetEase Games,22/12/23
572,Ravendawn,A 2D top-down MMORPG featuring homesteading and building mechanics.,https://www.freetogame.com/open/ravendawn,MMORPG,PC (Windows),Tavernlight Games,Tavernlight Games,16/01/24
573,Titan Revenge,A 3D Norse-themed browser MMORPG developed and published by Game Hollywood Games,https://www.freetogame.com/open/titan-revenge,MMORPG,Web Browser,Game Hollywood Games,Game Hollywood Games,20/12/23
575,One Punch Man: World,A free-to-play multiplayer 3D action game from Crunchyroll Games.,https://www.freetogame.com/open/one-punch-man-world,Action Game,PC (Windows),Perfect World Games,Crunchyroll,31/01/24
576,Battle Teams 2,A multiplayer tactical shooter with an Eastern aesthetic.,https://www.freetogame.com/open/battle-teams-2,Shooter,PC (Windows),Wizard Games Global,Wizard Games Global,31/01/24
577,Deceit 2,A social deduction game from World Makers.,https://www.freetogame.com/open/deceit-2,Action,PC (Windows),World Makers,World Makers,14/09/23
578,Predecessor,A free-to-play MOBA shooter developed and published by Omeda Studios.,https://www.freetogame.com/open/predecessor,MOBA,PC (Windows),Omeda Studios,Omeda Studios,28/03/24
579,Project Apidom,A free-to-play apocalyptic extraction RPG with MOBA-like combat.,https://www.freetogame.com/open/project-apidom,MOBA,PC (Windows),"Breach.gg, RedTigerPro",Breach.gg,29/03/24
580,Screenplay CCG,A collectible card game inspired by movie making.,https://www.freetogame.com/open/screenplay,Card Game,PC (Windows),Comico Games,Comico Games,13/05/24
582,Tarisland,A cross-platform MMORPG developed by Level Infinite and Published by Tencent.,https://www.freetogame.com/open/tarisland,MMORPG,PC (Windows),Tencent,Level Infinite,22/06/24
583,The First Descendant,A free-to-play third-person co-op looter shooter developed and published by Nexon.,https://www.freetogame.com/open/the-first-descendant,Shooter,PC (Windows),Nexon,"Nexon Games Co., Ltd.",02/07/24
584,Once Human,A post-apocalyptic open-world survival game from Starry Studio.,https://www.freetogame.com/open/once-human,Shooter,PC (Windows),Starry Studio,Starry Studio,09/07/24
585,SolForge Fusion,A card-battling game in which each card levels up and becomes more powerful.,https://www.freetogame.com/open/solforge-fusion,Card Game,PC (Windows),Stone Blade Entertainment,"Richard Garfield, Justin Gary",16/04/24
586,Stormgate,A free-to-play science fantasy real-time strategy game in which humans and robots defend Earth from alien forces.,https://www.freetogame.com/open/stormgate,Strategy,PC (Windows),Frost Giant Studios,Frost Giant Studios,30/07/24
587,Spectre Divide,"A 3v3 tactical shooter developed and published by Mountaintop Studios in partnership with former pro gamer shroud,",https://www.freetogame.com/open/spectre-divide,Shooter,PC (Windows),Mountaintop Studios,Mountaintop Studios,03/09/24
588,Vigor,A free-to-play looter shooter from the developers of Operation Flashpoint and the Arma series.,https://www.freetogame.com/open/vigor,Shooter,PC (Windows),Bohemia Interactive ,Bohemia Interactive,18/09/24
589,Sky: Children of the Light,A cozy free-to-play MMORPG from thatgamecompany.,https://www.freetogame.com/open/sky-children-of-the-light,MMORPG,PC (Windows),thatgamecompany,thatgamecompany,10/04/24
590,Throne And Liberty,A free-to-play multi-platorm MMORPG from NCSoft and Amazon Games.,https://www.freetogame.com/open/throne-and-liberty,MMORPG,PC (Windows),Amazon Games,NCSoft,01/10/24
591,Battle Crush,An action brawler for up to 30 players.,https://www.freetogame.com/open/battle-crush,Battle Royale,PC (Windows),NCSoft,NCSoft,27/06/24
592,Starborne: Frontiers,A tactical autobattler set 400 years in the future.,https://www.freetogame.com/open/starborne-frontiers,Strategy,PC (Windows),Solid Clouds hf.,Solid Clouds hf.,14/10/24
593,Return Alive,A free-to-play top-down tactical shooter.,https://www.freetogame.com/open/return-alive,Shooter,PC (Windows),KOG,KOG,23/10/24
594,Stalcraft: X,A free-to-play MMOFPS set in an open-world.,https://www.freetogame.com/open/stalcraft-x,Shooter,PC (Windows),EXBO,EXBO,09/12/22
595,Brighter Shores,"A point-and-click MMORPG from RuneScape's creator, Andrew Gower.",https://www.freetogame.com/open/brighter-shores,MMORPG,PC (Windows),Fen Research LTD,Fen Research LTD,06/11/24
596,Fractured Online,A free-to-play open-world sandbox MMORPG from developer and publisher Dynamight Studios,https://www.freetogame.com/open/fractured-online,MMORPG,PC (Windows),Dynamight Studios,Dynamight Studios,24/07/24
597,Strinova,A third-person tactical shooter that features the unique mechanic of allowing players to switch between three-dimensional and two-dimensional forms.,https://www.freetogame.com/open/strinova,Shooter,PC (Windows),iDreamSky,iDreamSky,21/11/24
598,SUPERVIVE,"Combine MOBAs, battle royales, and hero shooters into one fast paced game hand you have SUPERVIVE.",https://www.freetogame.com/open/supervive,MOBA,PC (Windows),Theorycraft Games,Theorycraft Games,20/11/24
599,Marvel Rivals,A free-to-play superhero team shooter from NetEase.,https://www.freetogame.com/open/marvel-rivals,Shooter,PC (Windows),NetEase,NetEase,06/12/24
601,Delta Force,A free-to-play team-based tactical shooter.,https://www.freetogame.com/open/delta-force,Shooter,PC (Windows),TiMi Studio Group,Team Jade,04/12/24
602,Smite 2,The free-to-play Unreal Engine 5-powered sequel to the popular third-person MOBA,https://www.freetogame.com/open/smite-2,MOBA,PC (Windows),Hi-Rez Studios,Titan Forge Games,27/08/24
603,War Robots: Frontiers,A multiplayer mech game set in a planetary system light years from Earth.,https://www.freetogame.com/open/war-robots-frontiers,Shooter,PC (Windows),My.games,My.games,04/03/25
604,FragPunk,A free-to-play 5v5 hero shooter that uses cards to modify matches.,https://www.freetogame.com/open/fragpunk,Shooter,PC (Windows),Bad Guitar Studio,Bad Guitar Studio,06/03/25
605,Honkai: Star Rail,A free-to-play sci-fantasy game from HoYoVerse,https://www.freetogame.com/open/honkai-star-rail,RPG,PC (Windows),HoYoVerse,HoYoVerse,26/04/23
606,Steel Hunters,A post-apocalyptic extraction shooter with giant mechs.,https://www.freetogame.com/open/steel-hunters,Shooter,PC (Windows),Wargaming ,Wargaming,02/04/25
607,The Lost Glitches,A cyberpunk RPG trading card game from Honig Studios.,https://www.freetogame.com/open/the-lost-glitches,Card Game,PC (Windows),Honig Studios GmbH,Mimunga LLC,29/04/25
608,Odin: Valhalla Rising,An open-world MMORPG based on Norse mythology.,https://www.freetogame.com/open/odin-valhalla-rising,MMORPG,PC (Windows),Kakao Games,Lionheart Studios,29/04/25
609,Crystal Of Atlan,A magicpunk MMORPG from Nuverse.,https://www.freetogame.com/open/crystal-of-atlan,MMORPG,PC (Windows),Skystone Games,Nuverse,26/05/25
610,Splitgate 2,A free-to-play shooter using portals.,https://www.freetogame.com/open/splitgate-2,Shooter,PC (Windows),1047 Games,1047 Games,22/05/25
611,Mecha BREAK,A team-based third-person shooter featuring mechs.,https://www.freetogame.com/open/mecha-break,Shooter,PC (Windows),Amazing Seasun Games,Amazing Seasun Games,01/07/25
