id,title,description,url,genre,platform,publisher,developer,release_date
226,Path of Exile,A free-to-play massively multiplayer online ARPG in the style of Diablo.,https://www.freetogame.com/open/path-of-exile,MMORPG,PC (Windows),Grinding Gear Games,Grinding Gear Games,23/10/13
229,Dota 2,Valve's premiere competitive free to play MOBA.,https://www.freetogame.com/open/dota-2,MOBA,PC (Windows),Valve,Valve,09/07/13
230,Ragnarok Online 2,"A 3D fantasy MMORPG, and sequel to the popular Ragnarok Online.",https://www.freetogame.com/open/ragnarok-online-2,MMORPG,PC (Windows),Gravity Interactive,"Gravity, Inc.",01/05/13
231,Panzar,"A free-to-play multiplayer third-person shooter with 
rpg elements and CryEngine 3 powered 
graphics.",https://www.freetogame.com/open/panzar,MOBA,PC (Windows),Panzar,Troxit Service,12/04/13
232,Age of Wushu,A free-to-play martial arts action MMORPG with a large open world and sandbox-like features.,https://www.freetogame.com/open/age-of-wushu,MMORPG,PC (Windows),Snail Games,Snail Games,20/12/12
233,Kingdom Wars,A free to play 3D MMORTS with real-time siege combat.,https://www.freetogame.com/open/kingdom-wars,Strategy,PC (Windows),"Reverie World Studios, INC","Reverie World Studios, INC",01/04/13
234,Champions of Regnum,"A free to play, realm versus realm fantasy MMORPG.",https://www.freetogame.com/open/champions-of-regnum,MMORPG,PC (Windows),NGD Studios,NGD Studios,27/02/13
235,Star Conflict,A free to play action-packed MMO space simulation game.,https://www.freetogame.com/open/star-conflict,Shooter,PC (Windows),Gaijin Entertainment,Star Gem Inc.,28/02/13
239,Dogs of War Online,Based on the famous miniature board game Confrontation!,https://www.freetogame.com/open/dogs-war-online,Strategy,PC (Windows),Cyanide,Cyanide,04/02/14
240,Epic Cards Battle,A free to play online strategic trading card game with dozens of cards and five factions. ,https://www.freetogame.com/open/epic-card-battle,Card Game,PC (Windows),momoStorm Entertainment,momoStorm,29/01/13
241,Everquest,"A fantasy MMORPG nearly two decades in the making. In fact, it’s the game that started it all! ",https://www.freetogame.com/open/everquest,MMORPG,PC (Windows),Daybreak Games,Daybreak Games,13/12/12
242,Mabinogi,A free-to-play adventure MMORPG where you can create a unique character and live your fantasy life.,https://www.freetogame.com/open/mabinogi,MMORPG,PC (Windows),Nexon America Inc. ,NEXON Korea Corp.,06/12/12
243,PlanetSide 2,A free-to-play open-world FPS that pits three factions against each other in a never-ending war.,https://www.freetogame.com/open/planetside-2,Shooter,PC (Windows),Daybreak Games,Daybreak Games,21/11/12
244,AirMech,A free to play Action RTS with MOBA elements.,https://www.freetogame.com/open/airmech,Strategy,PC (Windows),Carbon Games,Carbon Games,08/11/12
246,Pirate 101,A free to play Pirate-themed MMORPG designed with kids in mind.,https://www.freetogame.com/open/pirate-101,MMORPG,PC (Windows),KingsIsle Entertainment,KingsIsle Entertainment,15/10/12
248,Continent of the Ninth Seal,A free MMORPG where players take part as heroes of Glenheim to stand together against Nefer.,https://www.freetogame.com/open/c9,MMORPG,PC (Windows),Webzen,NHN Games (Acquired by Webzen),13/09/12
249,RPG MO,A nostalgic free MMORPG reminiscent of old-school RPG's like Ultima and Runescape.,https://www.freetogame.com/open/rpg-mo,MMORPG,"PC (Windows), Web Browser",Marxnet,Marxnet,18/07/12
251,The Lord of the Rings Online,"A free to play MMORPG set in the world of J.R.R. Tolkien's 
classic fantasy saga.",https://www.freetogame.com/open/lotro,MMORPG,PC (Windows),Warner Bros. Interactive Entertainment,"Turbine, Inc.",24/04/01
254,AION,"A high fantasy, free-to-play MMORPG that centers on the war between the game’s two factions: The Asmodians and the Elyos.",https://www.freetogame.com/open/aion,MMORPG,PC (Windows),NCSOFT,NCSOFT,25/11/08
255,Stronghold Kingdoms,A strategy based building/warfare game based on the long running Strongholds PC game series.,https://www.freetogame.com/open/stronghold-kingdoms,Strategy,Web Browser,FireFly Studios,FireFly Studios,28/02/12
256,Realm of the Mad God,A fast paced 2d free to play MMO shooter game with a retro 8-bit style.,https://www.freetogame.com/open/realm-mad-god,MMORPG,"PC (Windows), Web Browser",Kabam,Wild Shadow Studios,21/02/12
257,Star Wars: The Old Republic,A 3D sci-fi MMORPG based on the popular Star Wars universe and brought to you by Bioware. ,https://www.freetogame.com/open/swtor,MMORPG,PC (Windows),Electronic Arts,Bioware,20/12/11
258,APB Reloaded,A free to play 3D MMO third person shooter game brought to you by GTA creator.,https://www.freetogame.com/open/apb,Shooter,PC (Windows),Reloaded Games,Reloaded Productions,29/06/10
260,DC Universe Online,"A free-to-play, comics based MMORPG set in the popular DC Comics universe.",https://www.freetogame.com/open/dcuo,MMORPG,PC (Windows),Daybreak Games,Daybreak Games,11/01/11
261,No More Room in Hell,A free to play cooperative FPS survival horror mod for the Source Engine.,https://www.freetogame.com/open/no-more-room-in-hell,Shooter,PC (Windows),Lever Games,No More Room in Hell Team,31/10/11
262,Digimon Masters Online,A free to play 3D MMORPG based on the popular Digimon franchise.,https://www.freetogame.com/open/digimon-masters-online,MMORPG,PC (Windows),MOVE ON USA CO.,"Move Games Co., Ltd.",20/10/11
264,Dragon Nest,A free-to-play action MMORPG with non-targeting combat.,https://www.freetogame.com/open/dragon-nest,MMORPG,PC (Windows), Eyedentity Games Inc., Eyedentity Games Inc.,28/09/11
265,9Dragons,A martial arts themed MMORPG set in China during the Ming Dynasty.,https://www.freetogame.com/open/9dragons,MMORPG,PC (Windows),Battlezone,JoongWon Games,09/05/07
267,Mission Against Terror,A free to play fast-paced lobby-based MMOFPS with lots of game modes and tons of weapons.,https://www.freetogame.com/open/mat,Shooter,PC (Windows),Suba Games,Kingsoft,08/07/11
268,Eden Eternal,A free to play fantasy MMORPG with cute anime-inspired graphics.,https://www.freetogame.com/open/eden-eternal,MMORPG,PC (Windows),X-Legend Entertainment,X-Legend Entertainment,10/05/23
269,Spiral Knights,"A massively multiplayer online role-playing game, battle monsters and collect treasures!",https://www.freetogame.com/open/spiral-knights,MMORPG,PC (Windows),SEGA,Three Rings,15/06/11
271,Asda Global,A 3D anime-inspired fantasy MMORPG and is the successor to the original Asda Story.,https://www.freetogame.com/open/asda-global,MMORPG,PC (Windows),GamenGame,Maxonsoft,19/05/11
